segment_id,road_name,road_type,length_m,pass_count,event_count,pothole_count,speed_breaker_count,broken_patch_count,roughness_count,mean_severity,max_severity,confidence,condition_score,condition_class
SEG_001,NH_CORRIDOR_A,HIGHWAY,126.7,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_002,NH_CORRIDOR_A,HIGHWAY,151.2,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_003,NH_CORRIDOR_A,HIGHWAY,177.7,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_004,NH_CORRIDOR_A,HIGHWAY,159.7,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_005,NH_CORRIDOR_A,HIGHWAY,127.8,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_006,NH_CORRIDOR_A,HIGHWAY,173.0,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_007,NH_CORRIDOR_A,HIGHWAY,163.2,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_008,NH_CORRIDOR_A,HIGHWAY,106.6,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_009,NH_CORRIDOR_A,HIGHWAY,91.1,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_010,NH_CORRIDOR_A,HIGHWAY,145.0,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_011,NH_CORRIDOR_A,HIGHWAY,118.7,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_012,NH_CORRIDOR_A,HIGHWAY,169.8,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_013,NH_CORRIDOR_A,HIGHWAY,103.5,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_014,NH_CORRIDOR_A,HIGHWAY,89.2,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_015,NH_CORRIDOR_A,HIGHWAY,149.9,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_016,NH_CORRIDOR_A,HIGHWAY,176.9,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_017,NH_CORRIDOR_A,HIGHWAY,120.2,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_018,NH_CORRIDOR_A,HIGHWAY,103.0,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_019,NH_CORRIDOR_A,HIGHWAY,130.2,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_020,NH_CORRIDOR_A,HIGHWAY,148.6,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_021,NH_CORRIDOR_A,HIGHWAY,164.1,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_022,NH_CORRIDOR_A,HIGHWAY,114.7,60,0,0,0,0,0,0,0,0.99,92.0,GOOD
SEG_023,NH_CORRIDOR_A,HIGHWAY,161.5,60,45,0,45,0,0,2.8,5,0.99,71.0,MODERATE
SEG_024,NH_CORRIDOR_A,HIGHWAY,112.4,60,46,0,46,0,0,2.91,5,0.99,70.4,MODERATE
SEG_025,NH_CORRIDOR_A,HIGHWAY,98.3,60,42,0,42,0,0,2.83,5,0.99,71.6,MODERATE
