event_id,pass_id,timestamp,latitude,longitude,event_class,severity_0_5,detector_confidence,peak_vertical_g,speed_kmh,gps_accuracy_m,segment_id
EV-0001,PASS-001,2026-09-23T07:00:00,9.966204456746501,76.28246442113463,pothole,1.0,0.89,1.18,33.2,7.2,RSK-001
EV-0002,PASS-002,2026-09-23T07:25:48,9.968126710251264,76.28326364565844,speed_breaker,1.6,0.75,1.41,23.8,2.6,RSK-002
EV-0003,PASS-003,2026-09-23T07:51:36,9.970416960761213,76.2837689644206,broken_patch,2.0,0.89,1.56,23.6,3.0,RSK-003
EV-0004,PASS-004,2026-09-23T08:17:24,9.972355706479027,76.28419362810436,road_vibration,3.0,0.76,1.94,35.6,6.3,RSK-004
EV-0005,PASS-005,2026-09-23T08:43:12,9.974901676282942,76.28488161415534,pothole,3.8,0.75,2.24,35.2,5.3,RSK-005
EV-0006,PASS-006,2026-09-23T09:09:00,9.976787162898246,76.28501464530295,speed_breaker,4.4,0.8,2.47,46.2,2.9,RSK-006
EV-0007,PASS-007,2026-09-23T09:34:48,9.979266727744132,76.28507048145917,broken_patch,0.6,0.9,1.03,44.4,3.3,RSK-007
EV-0008,PASS-008,2026-09-23T10:00:36,9.98123579503607,76.2848914088248,road_vibration,1.4,0.73,1.33,35.0,8.6,RSK-008
EV-0009,PASS-009,2026-09-23T10:26:24,9.983377692444186,76.28472450567433,pothole,2.5,0.7,1.75,40.3,6.3,RSK-009
EV-0010,PASS-010,2026-09-23T10:52:12,9.985547378928247,76.28390453364293,speed_breaker,3.2,0.74,2.02,33.4,5.9,RSK-010
EV-0011,PASS-011,2026-09-23T11:18:00,9.988172325197015,76.2837154722377,broken_patch,3.6,0.67,2.17,32.9,9.0,RSK-011
EV-0012,PASS-012,2026-09-23T11:43:48,9.990332564678397,76.28271907518864,road_vibration,4.6,0.9,2.55,43.9,7.1,RSK-012
EV-0013,PASS-013,2026-09-23T12:09:36,9.992383335705828,76.28193221458316,pothole,0.7,0.69,1.07,42.6,2.9,RSK-013
EV-0014,PASS-014,2026-09-23T12:35:24,9.994496802404885,76.2811177261381,speed_breaker,1.6,0.96,1.41,36.9,2.9,RSK-014
EV-0015,PASS-015,2026-09-23T13:01:12,9.996793914248498,76.28081458609228,broken_patch,2.1,0.69,1.6,46.1,5.3,RSK-015
EV-0016,PASS-016,2026-09-23T13:27:00,9.999210798063613,76.28005463805903,road_vibration,3.1,0.68,1.98,24.3,7.1,RSK-016
EV-0017,PASS-017,2026-09-23T13:52:48,10.001222613461922,76.27943199003434,pothole,3.6,0.88,2.17,30.8,4.4,RSK-017
EV-0018,PASS-018,2026-09-23T14:18:36,10.003205439141063,76.2792545180681,speed_breaker,4.5,0.96,2.51,48.2,2.6,RSK-018
EV-0019,PASS-019,2026-09-23T14:44:24,10.005650579627746,76.27904645109497,broken_patch,0.7,0.84,1.07,36.2,3.4,RSK-019
EV-0020,PASS-020,2026-09-23T15:10:12,10.007714504417482,76.27881813221319,road_vibration,1.5,0.76,1.37,34.3,6.3,RSK-020
EV-0021,PASS-021,2026-09-23T15:36:00,10.00989125857149,76.27947887338937,pothole,2.5,0.83,1.75,40.7,6.4,RSK-021
