pass_id,bus_id,start_time,mean_speed_kmh,passengers_onboard
PASS-001,KL-07-BUS-01,2026-09-23T07:00:00,43.9,40
PASS-002,KL-07-BUS-02,2026-09-23T07:24:00,32.0,41
PASS-003,KL-07-BUS-03,2026-09-23T07:48:00,41.8,24
PASS-004,KL-07-BUS-04,2026-09-23T08:12:00,38.9,27
PASS-005,KL-07-BUS-05,2026-09-23T08:36:00,38.9,41
PASS-006,KL-07-BUS-06,2026-09-23T09:00:00,40.0,48
PASS-007,KL-07-BUS-07,2026-09-23T09:24:00,38.3,27
PASS-008,KL-07-BUS-08,2026-09-23T09:48:00,32.7,29
PASS-009,KL-07-BUS-01,2026-09-23T10:12:00,35.3,47
PASS-010,KL-07-BUS-02,2026-09-23T10:36:00,42.0,32
PASS-011,KL-07-BUS-03,2026-09-23T11:00:00,43.6,48
PASS-012,KL-07-BUS-04,2026-09-23T11:24:00,30.9,53
PASS-013,KL-07-BUS-05,2026-09-23T11:48:00,29.7,44
PASS-014,KL-07-BUS-06,2026-09-23T12:12:00,32.8,44
PASS-015,KL-07-BUS-07,2026-09-23T12:36:00,36.1,30
PASS-016,KL-07-BUS-08,2026-09-23T13:00:00,30.4,48
PASS-017,KL-07-BUS-01,2026-09-23T13:24:00,30.6,48
PASS-018,KL-07-BUS-02,2026-09-23T13:48:00,42.8,53
PASS-019,KL-07-BUS-03,2026-09-23T14:12:00,28.0,34
PASS-020,KL-07-BUS-04,2026-09-23T14:36:00,35.8,27
PASS-021,KL-07-BUS-05,2026-09-23T15:00:00,42.9,52
PASS-022,KL-07-BUS-06,2026-09-23T15:24:00,43.8,49
PASS-023,KL-07-BUS-07,2026-09-23T15:48:00,32.9,25
PASS-024,KL-07-BUS-08,2026-09-23T16:12:00,31.9,42
PASS-025,KL-07-BUS-01,2026-09-23T16:36:00,43.2,26
PASS-026,KL-07-BUS-02,2026-09-23T17:00:00,39.7,50
PASS-027,KL-07-BUS-03,2026-09-23T17:24:00,29.1,48
PASS-028,KL-07-BUS-04,2026-09-23T17:48:00,36.5,28
PASS-029,KL-07-BUS-05,2026-09-23T18:12:00,30.1,39
PASS-030,KL-07-BUS-06,2026-09-23T18:36:00,43.1,29
PASS-031,KL-07-BUS-07,2026-09-23T19:00:00,32.2,51
PASS-032,KL-07-BUS-08,2026-09-23T19:24:00,37.7,30
