segment_id,median_severity,confidence,n_passes,n_events,worst_class,exposure_score
RSK-001,1.2,0.73,9,4,pothole,3628
RSK-002,1.3,0.74,16,2,speed_breaker,6637
RSK-003,2.1,0.73,8,4,broken_patch,5939
RSK-004,2.9,0.85,16,7,road_vibration,3605
RSK-005,3.2,0.79,5,3,pothole,7519
RSK-006,3.8,0.79,8,6,speed_breaker,2637
RSK-007,4.0,0.74,10,5,broken_patch,8411
RSK-008,0.6,0.83,6,7,road_vibration,2445
RSK-009,1.7,0.92,14,6,pothole,6529
RSK-010,1.9,0.74,15,4,speed_breaker,8132
RSK-011,2.5,0.74,8,2,broken_patch,4913
RSK-012,3.1,0.87,10,3,road_vibration,4832
RSK-013,3.7,0.88,16,2,pothole,6790
RSK-014,4.5,0.85,8,3,speed_breaker,5586
RSK-015,1.0,0.96,15,4,broken_patch,7408
RSK-016,1.5,0.9,5,4,road_vibration,8532
RSK-017,1.7,0.8,9,2,pothole,3528
RSK-018,3.2,0.86,16,6,speed_breaker,3541
RSK-019,3.5,0.81,15,8,broken_patch,2970
RSK-020,3.6,0.78,13,5,road_vibration,7919
RSK-021,4.5,0.94,11,6,pothole,3596
RSK-022,1.6,0.75,12,2,speed_breaker,7991
RSK-023,1.2,0.75,15,3,broken_patch,8288
RSK-024,2.4,0.86,11,7,road_vibration,6681
