event_id,pass_id,timestamp,latitude,longitude,event_class,severity_0_5,detector_confidence,peak_vertical_g,speed_kmh,gps_accuracy_m,segment_id
SUP-0001,PASS-001,2026-09-23T07:00:00,9.965,76.282,harsh_braking,3.0,0.8,2.5,36.7,5.8,RSK-001
SUP-0002,PASS-002,2026-09-23T07:29:06,9.9716,76.28404491628007,rapid_acceleration,2.7,0.79,1.42,42.5,5.5,RSK-004
SUP-0003,PASS-003,2026-09-23T07:58:12,9.9782,76.28499248495982,sharp_turn,3.7,0.97,2.07,24.5,8.9,RSK-007
SUP-0004,PASS-004,2026-09-23T08:27:18,9.9848,76.28433421959066,lane_change,2.0,0.87,2.16,38.3,10.8,RSK-010
SUP-0005,PASS-005,2026-09-23T08:56:24,9.9914,76.28242336002418,harsh_braking,4.1,0.78,1.61,28.3,8.7,RSK-013
SUP-0006,PASS-006,2026-09-23T09:25:30,9.998,76.28028531604377,rapid_acceleration,1.5,0.71,1.18,27.9,10.6,RSK-016
SUP-0007,PASS-007,2026-09-23T09:54:36,10.0046,76.279067409647,sharp_turn,3.4,0.91,1.24,18.4,5.3,RSK-019
SUP-0008,PASS-008,2026-09-23T10:23:42,10.0112,76.27942319651972,lane_change,2.8,0.8,2.45,26.6,9.9,RSK-022
SUP-0009,PASS-009,2026-09-23T10:12:00,9.965,76.282,harsh_braking,1.4,0.72,1.79,37.6,8.5,RSK-001
SUP-0010,PASS-010,2026-09-23T10:41:06,9.9716,76.28404491628007,rapid_acceleration,1.6,0.93,2.43,20.9,5.0,RSK-004
SUP-0011,PASS-011,2026-09-23T11:10:12,9.9782,76.28499248495982,sharp_turn,3.1,0.82,1.93,39.0,9.2,RSK-007
SUP-0012,PASS-012,2026-09-23T11:39:18,9.9848,76.28433421959066,lane_change,2.4,0.95,1.52,38.0,6.4,RSK-010
SUP-0013,PASS-013,2026-09-23T12:08:24,9.9914,76.28242336002418,harsh_braking,3.1,0.72,2.44,21.4,9.1,RSK-013
SUP-0014,PASS-014,2026-09-23T12:37:30,9.998,76.28028531604377,rapid_acceleration,3.3,0.77,1.21,26.2,7.4,RSK-016
SUP-0015,PASS-015,2026-09-23T13:06:36,10.0046,76.279067409647,sharp_turn,1.6,0.81,2.07,34.0,3.3,RSK-019
SUP-0016,PASS-016,2026-09-23T13:35:42,10.0112,76.27942319651972,lane_change,2.1,0.78,2.3,20.4,4.9,RSK-022
SUP-0017,PASS-017,2026-09-23T13:24:00,9.965,76.282,harsh_braking,2.0,0.92,1.93,45.3,4.6,RSK-001
SUP-0018,PASS-018,2026-09-23T13:53:06,9.9716,76.28404491628007,rapid_acceleration,1.4,0.76,1.31,27.0,4.1,RSK-004
SUP-0019,PASS-019,2026-09-23T14:22:12,9.9782,76.28499248495982,sharp_turn,1.2,0.92,1.93,46.0,10.4,RSK-007
SUP-0020,PASS-020,2026-09-23T14:51:18,9.9848,76.28433421959066,lane_change,2.6,0.83,1.53,31.7,5.2,RSK-010
