pass_id,bus_id,route_id,start_time,end_time,distance_km,event_count,segments_traversed
PASS_01_001_01,BUS_001,ROUTE_4,2026-09-18T06:30:00,2026-09-18T06:30:17.697404,20.64,71,160
PASS_01_001_02,BUS_001,ROUTE_4,2026-09-18T09:00:00,2026-09-18T09:00:18,20.64,65,160
PASS_01_002_01,BUS_002,ROUTE_7,2026-09-18T06:40:00,2026-09-18T06:40:15.964988,20.64,73,160
PASS_01_002_02,BUS_002,ROUTE_7,2026-09-18T09:10:00,2026-09-18T09:10:18,20.64,75,160
PASS_01_003_01,BUS_003,ROUTE_12,2026-09-18T06:51:00,2026-09-18T06:51:18,20.64,72,160
PASS_01_003_02,BUS_003,ROUTE_12,2026-09-18T09:21:00,2026-09-18T09:21:10.642992,20.64,77,160
PASS_01_004_01,BUS_004,ROUTE_4,2026-09-18T06:30:00,2026-09-18T06:30:08.671477,20.64,74,160
PASS_01_004_02,BUS_004,ROUTE_4,2026-09-18T09:00:00,2026-09-18T09:00:18,20.64,68,160
PASS_01_005_01,BUS_005,ROUTE_7,2026-09-18T06:40:00,2026-09-18T06:40:14.327866,20.64,71,160
PASS_01_005_02,BUS_005,ROUTE_7,2026-09-18T09:10:00,2026-09-18T09:10:18,20.64,72,160
PASS_01_006_01,BUS_006,ROUTE_12,2026-09-18T06:51:00,2026-09-18T06:51:16.375269,20.64,67,160
PASS_01_006_02,BUS_006,ROUTE_12,2026-09-18T09:21:00,2026-09-18T09:21:18,20.64,72,160
PASS_01_007_01,BUS_007,ROUTE_4,2026-09-18T06:30:00,2026-09-18T06:30:13.886868,20.64,72,160
PASS_01_007_02,BUS_007,ROUTE_4,2026-09-18T09:00:00,2026-09-18T09:00:13.326591,20.64,73,160
PASS_01_008_01,BUS_008,ROUTE_7,2026-09-18T06:40:00,2026-09-18T06:40:08.424358,20.64,79,160
PASS_01_008_02,BUS_008,ROUTE_7,2026-09-18T09:10:00,2026-09-18T09:10:18,20.64,73,160
PASS_01_009_01,BUS_009,ROUTE_12,2026-09-18T06:51:00,2026-09-18T06:51:14.048310,20.64,78,160
PASS_01_009_02,BUS_009,ROUTE_12,2026-09-18T09:21:00,2026-09-18T09:21:18,20.64,66,160
PASS_01_010_01,BUS_010,ROUTE_4,2026-09-18T06:30:00,2026-09-18T06:30:18,20.64,69,160
PASS_01_010_02,BUS_010,ROUTE_4,2026-09-18T09:00:00,2026-09-18T09:00:18,20.64,77,160
PASS_02_001_01,BUS_001,ROUTE_4,2026-09-19T06:30:00,2026-09-19T06:30:18,20.64,70,160
PASS_02_001_02,BUS_001,ROUTE_4,2026-09-19T09:00:00,2026-09-19T09:00:18,20.64,80,160
PASS_02_002_01,BUS_002,ROUTE_7,2026-09-19T06:40:00,2026-09-19T06:40:18,20.64,78,160
PASS_02_002_02,BUS_002,ROUTE_7,2026-09-19T09:10:00,2026-09-19T09:10:11.476531,20.64,72,160
PASS_02_003_01,BUS_003,ROUTE_12,2026-09-19T06:51:00,2026-09-19T06:51:08.742040,20.64,67,160
PASS_02_003_02,BUS_003,ROUTE_12,2026-09-19T09:21:00,2026-09-19T09:21:17.540378,20.64,72,160
PASS_02_004_01,BUS_004,ROUTE_4,2026-09-19T06:30:00,2026-09-19T06:30:18,20.64,70,160
PASS_02_004_02,BUS_004,ROUTE_4,2026-09-19T09:00:00,2026-09-19T09:00:18,20.64,74,160
PASS_02_005_01,BUS_005,ROUTE_7,2026-09-19T06:40:00,2026-09-19T06:40:16.962039,20.64,77,160
PASS_02_005_02,BUS_005,ROUTE_7,2026-09-19T09:10:00,2026-09-19T09:10:18,20.64,76,160
PASS_02_006_01,BUS_006,ROUTE_12,2026-09-19T06:51:00,2026-09-19T06:51:15.496776,20.64,69,160
PASS_02_006_02,BUS_006,ROUTE_12,2026-09-19T09:21:00,2026-09-19T09:21:10.262111,20.64,70,160
PASS_02_007_01,BUS_007,ROUTE_4,2026-09-19T06:30:00,2026-09-19T06:30:09.041908,20.64,69,160
PASS_02_007_02,BUS_007,ROUTE_4,2026-09-19T09:00:00,2026-09-19T09:00:18,20.64,68,160
PASS_02_008_01,BUS_008,ROUTE_7,2026-09-19T06:40:00,2026-09-19T06:40:18,20.64,65,160
PASS_02_008_02,BUS_008,ROUTE_7,2026-09-19T09:10:00,2026-09-19T09:10:18,20.64,65,160
PASS_02_009_01,BUS_009,ROUTE_12,2026-09-19T06:51:00,2026-09-19T06:51:18,20.64,69,160
PASS_02_009_02,BUS_009,ROUTE_12,2026-09-19T09:21:00,2026-09-19T09:21:18,20.64,72,160
PASS_02_010_01,BUS_010,ROUTE_4,2026-09-19T06:30:00,2026-09-19T06:30:18,20.64,75,160
PASS_02_010_02,BUS_010,ROUTE_4,2026-09-19T09:00:00,2026-09-19T09:00:13.572246,20.64,73,160
PASS_03_001_01,BUS_001,ROUTE_4,2026-09-20T06:30:00,2026-09-20T06:30:18,20.64,75,160
PASS_03_001_02,BUS_001,ROUTE_4,2026-09-20T09:00:00,2026-09-20T09:00:12.455205,20.64,70,160
PASS_03_002_01,BUS_002,ROUTE_7,2026-09-20T06:40:00,2026-09-20T06:40:08.562773,20.64,72,160
PASS_03_002_02,BUS_002,ROUTE_7,2026-09-20T09:10:00,2026-09-20T09:10:17.877142,20.64,67,160
PASS_03_003_01,BUS_003,ROUTE_12,2026-09-20T06:51:00,2026-09-20T06:51:18,20.64,69,160
PASS_03_003_02,BUS_003,ROUTE_12,2026-09-20T09:21:00,2026-09-20T09:21:18,20.64,77,160
PASS_03_004_01,BUS_004,ROUTE_4,2026-09-20T06:30:00,2026-09-20T06:30:16.131566,20.64,74,160
PASS_03_004_02,BUS_004,ROUTE_4,2026-09-20T09:00:00,2026-09-20T09:00:15.872866,20.64,72,160
PASS_03_005_01,BUS_005,ROUTE_7,2026-09-20T06:40:00,2026-09-20T06:40:15.195642,20.64,79,160
PASS_03_005_02,BUS_005,ROUTE_7,2026-09-20T09:10:00,2026-09-20T09:10:15.082845,20.64,67,160
PASS_03_006_01,BUS_006,ROUTE_12,2026-09-20T06:51:00,2026-09-20T06:51:10.407870,20.64,69,160
PASS_03_006_02,BUS_006,ROUTE_12,2026-09-20T09:21:00,2026-09-20T09:21:18,20.64,68,160
PASS_03_007_01,BUS_007,ROUTE_4,2026-09-20T06:30:00,2026-09-20T06:30:18,20.64,75,160
