segment_id,road_name,road_type,length_m,pass_count,affected_pass_count,unique_bus_count,event_count,pothole_count,speed_breaker_count,broken_patch_count,roughness_count,mean_severity,max_severity,confidence,condition_score,condition_class,suppressed_count,explanation,last_observed_at
SEG_001,NH_CORRIDOR_A,HIGHWAY,126.7,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_002,NH_CORRIDOR_A,HIGHWAY,151.2,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_003,NH_CORRIDOR_A,HIGHWAY,177.7,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_004,NH_CORRIDOR_A,HIGHWAY,159.7,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_005,NH_CORRIDOR_A,HIGHWAY,127.8,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_006,NH_CORRIDOR_A,HIGHWAY,173,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_007,NH_CORRIDOR_A,HIGHWAY,163.2,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_008,NH_CORRIDOR_A,HIGHWAY,106.6,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_009,NH_CORRIDOR_A,HIGHWAY,91.1,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_010,NH_CORRIDOR_A,HIGHWAY,145,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_011,NH_CORRIDOR_A,HIGHWAY,118.7,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,1,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_012,NH_CORRIDOR_A,HIGHWAY,169.8,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_013,NH_CORRIDOR_A,HIGHWAY,103.5,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_014,NH_CORRIDOR_A,HIGHWAY,89.2,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_015,NH_CORRIDOR_A,HIGHWAY,149.9,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_016,NH_CORRIDOR_A,HIGHWAY,176.9,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_017,NH_CORRIDOR_A,HIGHWAY,120.2,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_018,NH_CORRIDOR_A,HIGHWAY,103,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_019,NH_CORRIDOR_A,HIGHWAY,130.2,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,1,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_020,NH_CORRIDOR_A,HIGHWAY,148.6,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,3,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
SEG_021,NH_CORRIDOR_A,HIGHWAY,164.1,60,0,10,0,0,0,0,0,0,0,0.986,95,GOOD,0,Pristine corridor: 0 road hazards detected across 60 passes (10 unique buses).,2026-09-18T06:30:17
