event_id,bus_id,pass_id,segment_id,timestamp,candidate_type,suppression_reason,confidence
SUP_00001,BUS_001,PASS_01_001_01,SEG_155,2026-09-18T06:30:09.300000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00002,BUS_001,PASS_01_001_01,SEG_155,2026-09-18T06:30:06,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00003,BUS_001,PASS_01_001_02,SEG_062,2026-09-18T09:00:05.200000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00004,BUS_001,PASS_01_001_02,SEG_136,2026-09-18T09:00:11.400000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00005,BUS_003,PASS_01_003_02,SEG_046,2026-09-18T09:21:05.700000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00006,BUS_004,PASS_01_004_02,SEG_103,2026-09-18T09:00:08.500000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00007,BUS_004,PASS_01_004_02,SEG_141,2026-09-18T09:00:05.800000,POTHOLE_LIKE,RAPID_ACCELERATION,0.82
SUP_00008,BUS_004,PASS_01_004_02,SEG_147,2026-09-18T09:00:13.200000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00009,BUS_005,PASS_01_005_02,SEG_081,2026-09-18T09:10:05.900000,POTHOLE_LIKE,BUS_STOP_DEPARTURE,0.82
SUP_00010,BUS_005,PASS_01_005_02,SEG_093,2026-09-18T09:10:11.700000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00011,BUS_006,PASS_01_006_01,SEG_122,2026-09-18T06:51:07.300000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00012,BUS_006,PASS_01_006_02,SEG_134,2026-09-18T09:21:05.300000,POTHOLE_LIKE,SHARP_TURN,0.82
SUP_00013,BUS_006,PASS_01_006_02,SEG_135,2026-09-18T09:21:11.600000,POTHOLE_LIKE,HARD_BRAKING,0.82
SUP_00014,BUS_007,PASS_01_007_01,SEG_045,2026-09-18T06:30:02.500000,POTHOLE_LIKE,RAPID_ACCELERATION,0.82
SUP_00015,BUS_007,PASS_01_007_01,SEG_135,2026-09-18T06:30:12.300000,POTHOLE_LIKE,SHARP_TURN,0.82
